abbildung abbildungen
darstellung darstellungen
datei dateien
datenbank datenbanken
datierung datierungen
datum daten
dauerbackware dauerbackwaren
definition definitionen
delegation delegationen
delegierte delegierten
demokrat demokraten
demonstrant demonstranten
denomination denominationen
destination destinationen
detektor detektoren
deutsche deutschen
devisenreserve devisenreserven
dialysepatient dialysepatienten
diamant diamanten
dichtername dichternamen
dichtung dichtungen
dienstjahr dienstjahren
dienstvorschrift dienstvorschriften
dieselmotor dieselmotoren
diffamierung diffamierungen
differenz differenzen
dimension dimensionen
dirigent dirigenten
diskussion diskussionen
dissertation dissertationen
distanz distanzen
division divisionen
dorfgemeinde dorfgemeinden
dozent dozenten
drama dramen
dreharbeit dreharbeiten
drehbuchautor drehbuchautoren
drehscheibe drehscheiben
drohung drohungen
druse drusen
durchfallerkrankung durchfallerkrankungen
durchgangsstraße durchgangsstraßen
däne dänen
düne dünen
ebene ebenen
echse echsen
ecke ecken
ehefrau ehefrauen
eigenart eigenarten
eigenproduktion eigenproduktionen
eigenschaft eigenschaften
eigentumswohnung eigentumswohnungen
eigentümergemeinschaft eigentümergemeinschaften
einflugschneise einflugschneisen
einheimische einheimischen
einheit einheiten
einladung einladungen
einnahme einnahmen
einrichtung einrichtungen
einschaltquote einschaltquoten
einschränkung einschränkungen
einsicht einsichten
einstellung einstellungen
einstiegszeit einstiegszeiten
einteilung einteilungen
einzelausstellung einzelausstellungen
einzelheit einzelheiten
einzelperson einzelpersonen
eisenbahn eisenbahnen
eisenbahnstrecke eisenbahnstrecken
eisenbahnverbindung eisenbahnverbindungen
elefant elefanten
elegie elegien
elektron elektronen
emigrant emigranten
emission emissionen
emotion emotionen
empfehlung empfehlungen
empfindung empfindungen
energie energien
energieform energieformen
energiepflanze energiepflanzen
energiequelle energiequellen
entdeckung entdeckungen
entität entitäten
entscheidung entscheidungen
entschädigung entschädigungen
entwicklung entwicklungen
entwicklungsstörung entwicklungsstörungen
entwurfsskizze entwurfsskizzen
episode episoden
epoche epochen
epos epen
erbse erbsen
erdarbeit erdarbeiten
erfahrung erfahrungen
erfolgsaussicht erfolgsaussichten
erfordernis erfordernissen
erfrischung erfrischungen
ergänzung ergänzungen
erinnerung erinnerungen
erklärung erklärungen
erkrankung erkrankungen
erläuterung erläuterungen
ermittlung ermittlungen
erneuerungsarbeit erneuerungsarbeiten
erneuerungstendenz erneuerungstendenzen
erntemaschine erntemaschinen
errungenschaft errungenschaften
erscheinung erscheinungen
erschließungsarbeit erschließungsarbeiten
erst ersten
erstaufführung erstaufführungen
erststimme erststimmen
erwachsene erwachsenen
erwartung erwartungen
erweiterung erweiterungen
erweiterungsmöglichkeit erweiterungsmöglichkeiten
erwerbstätige erwerbstätigen
erzählung erzählungen
etage etagen
eunuch eunuchen
europäerin europäerinnen
expedition expeditionen
experte experten
exportbeschränkung exportbeschränkungen
extremist extremisten
fabrik fabriken
fabrikationsanlage fabrikationsanlagen
facettenauge facettenaugen
fachgruppe fachgruppen
fachrichtung fachrichtungen
fahrspur fahrspuren
fahrt fahrten
faktor faktoren
faktum fakten
familie familien
familienangehörige familienangehörigen
farbe farben
farbtafel farbtafeln
faschist faschisten
fassade fassaden
fassadenplatte fassadenplatten
fassung fassungen
favorit favoriten
fehlzeit fehlzeiten
feierlichkeit feierlichkeiten
feige feigen
feinheit feinheiten
feldstudie feldstudien
fensterachse fensterachsen
fernsehstation fernsehstationen
fernverbindung fernverbindungen
festgenommener festgenommenen
festivität festivitäten
festwoche festwochen
feuerwehr feuerwehren
figur figuren
filiale filialen
filmautor filmautoren
filmproduktion filmproduktionen
filmrolle filmrollen
filmschaffende filmschaffenden
finanz finanzen
finanzbeziehung finanzbeziehungen
firma firmen
firmenkunde firmenkunden
flagge flaggen
flamme flammen
flasche flaschen
flosse flossen
flotte flotten
flugdatum flugdaten
flugeigenschaft flugeigenschaften
fluggesellschaft fluggesellschaften
flurname flurnamen
flußoase flussoasen
fläche flächen
flöte flöten
flüssigkeit flüssigkeiten
folge folgen
fontäne fontänen
forderung forderungen
form formen
formation formationen
formulierung formulierungen
forschung forschungen
forschungslaboratorium forschungslaboratorien
fortbildung fortbildungen
fortsetzung fortsetzungen
fossil fossilien
fracht frachten
frage fragen
fraktion fraktionen
franke franken
franse fransen
franzose franzosen
frau frauen
freiheit freiheiten
freiherr freiherren
freiwillige freiwilligen
freizeit freizeiten
fremde fremden
fremdsprache fremdsprachen
frequenz frequenzen
fresko fresken
freundin freundinnen
front fronten
fuge fugen
funktion funktionen
funktionsbedingung funktionsbedingungen
futterpflanze futterpflanzen
fähigkeit fähigkeiten
fähre fähren
förderung förderungen
führung führungen
fürst fürsten
galeere galeeren
galerie galerien
garderobe garderoben
garnison garnisonen
gasse gassen
gastprofessur gastprofessuren
gastrolle gastrollen
gastronom gastronomen
gattung gattungen
gedanke gedanken
gefahr gefahren
gefangene gefangenen
gegenleistung gegenleistungen
gegenmaßnahme gegenmaßnahmen
geheimdienstagent geheimdienstagenten
gehilfe gehilfen
geisel geiseln
geldquelle geldquellen
geldspende geldspenden
geldsumme geldsummen
gelehrte gelehrten
gemeinde gemeinden
gemeindebau gemeindebauten
gemeindegrenze gemeindegrenzen
gemeinsamkeit gemeinsamkeiten
gemeinschaft gemeinschaften
gemüsesorte gemüsesorten
generation generationen
generator generatoren
genossenschaft genossenschaften
genuese genuesen
gerätschaft gerätschaften
geschenkidee geschenkideen
geschichte geschichten
geschwindigkeit geschwindigkeiten
geschäftsaktivität geschäftsaktivitäten
geschäftskunde geschäftskunden
geschäftsstelle geschäftsstellen
gesellschaft gesellschaften
gesundheitswissenschaft gesundheitswissenschaften
gewerbefläche gewerbeflächen
gewerkschaft gewerkschaften
gewesene gewesenen
gitarrist gitarristen
glasmalerei glasmalereien
glaubensgemeinschaft glaubensgemeinschaften
gleichstellungsfrage gleichstellungsfragen
gleisanlage gleisanlagen
glocke glocken
glosse glossen
gläubige gläubigen
goldreserve goldreserven
gondelbahn gondelbahnen
grabbeigabe grabbeigaben
grabstätte grabstätten
graf grafen
grafschaft grafschaften
graubund graubünden
grenze grenzen
grieche griechen
grotte grotten
großfirma großfirmen
großkunde großkunden
grube gruben
grundherr grundherren
grundlage grundlagen
grundmauer grundmauern
grundsatzfrage grundsatzfragen
gruppe gruppen
gruppenausstellung gruppenausstellungen
größe größen
größenordnung größenordnungen
gurke gurken
hafenanlage hafenanlagen
haftbedingung haftbedingungen
halbinsel halbinseln
halle hallen
handelsbeziehung handelsbeziehungen
handelsfirma handelsfirmen
handelsroute handelsrouten
handfeuerwaffe handfeuerwaffen
handlung handlungen
handschrift handschriften
handwaffe handwaffen
hartgesotten hartgesottenen
hauptrolle hauptrollen
hausname hausnamen
hausnummer hausnummern
hausversammlung hausversammlungen
hautkrankheit hautkrankheiten
hautveränderung hautveränderungen
hautzelle hautzellen
hebebühne hebebühnen
heilung heilungen
herausforderung herausforderungen
herr herren
herrschaft herrschaften
heuschrecke heuschrecken
hieroglyphe hieroglyphen
hilfe hilfen
hilfsorganisation hilfsorganisationen
hilfswissenschaft hilfswissenschaften
hirte hirten
hochschule hochschulen
hochschulrektor hochschulrektoren
hochzeit hochzeiten
hofstelle hofstellen
holzbrücke holzbrücken
holzfigur holzfiguren
holzkeule holzkeulen
homosexuelle homosexuellen
hose hosen
huf hufen
hugenotte hugenotten
humanist humanisten
hunne hunnen
hypothese hypothesen
höhe höhen
höhle höhlen
hörgewohnheit hörgewohnheiten
hütte hütten
idee ideen
illustration illustrationen
immigrant immigranten
importbeschränkung importbeschränkungen
indianerfrage indianerfragen
indikation indikationen
infektion infektionen
information informationen
ingenieurwissenschaft ingenieurwissenschaften
initiale initialen
initiative initiativen
insasse insassen
inschrift inschriften
insekt insekten
insektenart insektenarten
insel inseln
insignie insignien
institution institutionen
interesse interessen
invasionstruppe invasionstruppen
investition investitionen
investitionsausgabe investitionsausgaben
investmentgesellschaft investmentgesellschaften
investor investoren
irokese irokesen
jacke jacken
jagdart jagdarten
jagdwaffe jagdwaffen
jahr jahren
jakobsmuschel jakobsmuscheln
jalousie jalousien
jesuit jesuiten
journalist journalisten
jubiläum jubiläen
jubiläumsveranstaltung jubiläumsveranstaltungen
jude juden
jugendliche jugendlichen
jugendmannschaft jugendmannschaften
jugendrevolte jugendrevolten
jugendschutzgrund jugendschutzgründen
jugendstilbau jugendstilbauten
junge jungen
jungfisch jungfischen
junior junioren
jurist juristen
jüngere jüngeren
kaffeebohne kaffeebohnen
kaltzeit kaltzeiten
kammer kammern
kampftruppe kampftruppen
kanalbrücke kanalbrücken
kanalinsel kanalinseln
kandidat kandidaten
kannibale kannibalen
kanone kanonen
kante kanten
kapelle kapellen
kapsel kapseln
karte karten
kartonage kartonagen
kaserne kasernen
kaskade kaskaden
kassette kassetten
kassiererin kassiererinnen
kastenauseinandersetzung kastenauseinandersetzungen
kategorie kategorien
katholik katholiken
katze katzen
kenngröße kenngrößen
kiesgrube kiesgruben
kinoheld kinohelden
kirche kirchen
kirchenbibliothek kirchenbibliotheken
kiste kisten
klarinette klarinetten
klasse klassen
klasseninteresse klasseninteressen
kleinanlage kleinanlagen
kleine kleinen
kleinigkeit kleinigkeiten
kleinpartei kleinparteien
klimaveränderung klimaveränderungen
klimaänderung klimaänderungen
klinik kliniken
koalition koalitionen
kokosnußplantage kokosnussplantagen
kolchose kolchosen
kollege kollegen
kolonialherr kolonialherren
kombination kombinationen
kometenwolke kometenwolken
kommandant kommandanten
kommunist kommunisten
komplikation komplikationen
komponente komponenten
komposition kompositionen
kompressor kompressoren
komödie komödien
konfession konfessionen
konkubine konkubinen
konkurrent konkurrenten
konservendose konservendosen
konstruktion konstruktionen
kontamination kontaminationen
konto konten
kontrahent kontrahenten
kontrolle kontrollen
kontroverse kontroversen
konzertreise konzertreisen
konzession konzessionen
koordinate koordinaten
kopfseite kopfseiten
kopie kopien
koproduktion koproduktionen
kopte kopten
korporation korporationen
korrespondent korrespondenten
kosmetikerin kosmetikerinnen
kostbarkeit kostbarkeiten
kostprobe kostproben
krabbe krabben
kranke kranken
krankheit krankheiten
krankheitsvertretung krankheitsvertretungen
kreatur kreaturen
kreditschuld kreditschulden
kriegsauszeichnung kriegsauszeichnungen
kriegsgefangene kriegsgefangenen
kriegshandlung kriegshandlungen
kriegspartei kriegsparteien
kriegsstrategie kriegsstrategien
kriegsszene kriegsszenen
kriegszeit kriegszeiten
kriterium kriterien
kritik kritiken
kroate kroaten
krone kronen
krypta krypten
kugel kugeln
kultur kulturen
kulturlandschaft kulturlandschaften
kunde kunden
kunstausstellung kunstausstellungen
kunstgattung kunstgattungen
kunstschule kunstschulen
kunstzeitschrift kunstzeitschriften
kurde kurden
kurzgeschichte kurzgeschichten
kutsche kutschen
kältemaschine kältemaschinen
körperfunktion körperfunktionen
körperschaft körperschaften
laboratorium laboratorien
ladehemmung ladehemmungen
lage lagen
lagerstätte lagerstätten
laie laien
lamelle lamellen
landesmeisterschaft landesmeisterschaften
landgemeinde landgemeinden
landgericht landgerichten
landschaft landschaften
larve larven
laufbahngruppe laufbahngruppen
lebenssituation lebenssituationen
lebensstation lebensstationen
legion legionen
lehrperson lehrpersonen
leibesübung leibesübungen
leiche leichen
leidenschaft leidenschaften
leistung leistungen
leitlinie leitlinien
leitung leitungen
lesart lesarten
lesung lesungen
leukämiezelle leukämiezellen
liberale liberalen
liebesgeschichte liebesgeschichten
lieferant lieferanten
liga ligen
linie linien
literaturkritik literaturkritiken
literaturzeitschrift literaturzeitschriften
lithographie lithographien
lobbyist lobbyisten
loge logen
lohnauszahlung lohnauszahlungen
lokomotive lokomotiven
lombarde lombarden
lotse lotsen
luftangriff luftangriffen
lunge lungen
lutherische lutherischen
lyrikerin lyrikerinnen
länge längen
lösung lösungen
löwe löwen
lücke lücken
makrele makrelen
malerarbeit malerarbeiten
mannschaft mannschaften
mannschaftsleistung mannschaftsleistungen
marke marken
markenname markennamen
markierung markierungen
marktnische marktnischen
marktpreis marktpreisen
maschine maschinen
masse massen
massenmedium massenmedien
material materialien
matratze matratzen
mauer mauern
maßnahme maßnahmen
mechanismus mechanismen
medaille medaillen
medium medien
meile meilen
meinungsverschiedenheit meinungsverschiedenheiten
meisterschaft meisterschaften
melodie melodien
membrane membranen
menge mengen
mennonit mennoniten
mensch menschen
mentor mentoren
messung messungen
methode methoden
meßstation messstationen
miesmuschel miesmuscheln
mikroorganismus mikroorganismen
militärangehörige militärangehörigen
milliarde milliarden
million millionen
minderheit minderheiten
mindestanforderung mindestanforderungen
mine minen
ministerium ministerien
ministrant ministranten
minute minuten
mischung mischungen
mission missionen
mitarbeitergruppe mitarbeitergruppen
mitglied mitgliedern
mitgliederzahl mitgliederzahlen
mitgliedstaat mitgliedstaaten
mittelbauer mittelbauern
mode moden
modell modellen
moderator moderatoren
mongole mongolen
mosaik mosaiken
moschee moscheen
motor motoren
motorradbande motorradbanden
mulde mulden
multiplikation multiplikationen
museum museen
musikerin musikerinnen
musikproduktion musikproduktionen
musikproduzent musikproduzenten
musikveranstaltung musikveranstaltungen
muskete musketen
musterklage musterklagen
mutation mutationen
mutmaßung mutmaßungen
mythos mythen
männerbekanntschaft männerbekanntschaften
möglichkeit möglichkeiten
mücke mücken
mühle mühlen
münze münzen
nabe naben
nachbar nachbarn
nachbargemeinde nachbargemeinden
nachbarstaat nachbarstaaten
nachbau nachbauten
nachbildung nachbildungen
nachfolgefirma nachfolgefirmen
nachricht nachrichten
nachwuchsmannschaft nachwuchsmannschaften
name namen
namensliste namenslisten
narbe narben
nation nationen
nationalist nationalisten
nationalität nationalitäten
nationalmannschaft nationalmannschaften
nationalsozialist nationalsozialisten
naturkatastrophe naturkatastrophen
naturwissenschaft naturwissenschaften
nebenfigur nebenfiguren
nebenlinie nebenlinien
nebenrolle nebenrollen
negativerfahrung negativerfahrungen
nelke nelken
nervenverletzung nervenverletzungen
nervenzelle nervenzellen
neubau neubauten
neuerung neuerungen
neueröffnung neueröffnungen
neuigkeit neuigkeiten
neuste neuesten
neuübersetzung neuübersetzungen
niederlage niederlagen
niederlassung niederlassungen
niederung niederungen
norm normen
note noten
notfallmaßnahme notfallmaßnahmen
notiz notizen
notwendigkeit notwendigkeiten
nummer nummern
nutzungsrecht nutzungsrechten
oberherr oberherren
ohr ohren
onkel onkeln
oper opern
operation operationen
oppositionspartei oppositionsparteien
option optionen
oratorium oratorien
ordensfrau ordensfrauen
ordensgemeinschaft ordensgemeinschaften
organisation organisationen
organisator organisatoren
orgel orgeln
originalpartitur originalpartituren
ortschaft ortschaften
ortsumgehung ortsumgehungen
osmane osmanen
parkmöglichkeit parkmöglichkeiten
parole parolen
partei parteien
partie partien
partnerschaft partnerschaften
passage passagen
patient patienten
patrouille patrouillen
person personen
personengruppe personengruppen
personenname personennamen
perspektive perspektiven
persönlichkeit persönlichkeiten
persönlichkeitseigenschaft persönlichkeitseigenschaften
pfarrei pfarreien
pflanzenart pflanzenarten
pflegestätte pflegestätten
pflicht pflichten
pfote pfoten
pfälzisch pfälzischen
phase phasen
philosoph philosophen
philosophie philosophien
photon photonen
pianist pianisten
pilot piloten
pistole pistolen
pizza pizzen
planet planeten
planung planungen
plastik plastiken
platte platten
plattform plattformen
plazierung platzierungen
politikwissenschaft politikwissenschaften
polyp polypen
population populationen
pore poren
portion portionen
porträtbüste porträtbüsten
portugiese portugiesen
position positionen
postbote postboten
postkarte postkarten
praline pralinen
praxis praxen
predigt predigten
preisklasse preisklassen
presse pressen
preuße preußen
priesteramtskandidat priesteramtskandidaten
priesterseminar priesterseminaren
prinzip prinzipien
privatangelegenheit privatangelegenheiten
probe proben
produktion produktionen
produktionsanlage produktionsanlagen
produktionskapazität produktionskapazitäten
professor professoren
prognose prognosen
programmiersprache programmiersprachen
prophet propheten
prophezeiung prophezeiungen
protestant protestanten
prototyp prototypen
provinz provinzen
prozedur prozeduren
präfektur präfekturen
prämie prämien
präsident präsidenten
präsidentschaftskandidat präsidentschaftskandidaten
präsidentschaftswahl präsidentschaftswahlen
prüfung prüfungen
psychologe psychologen
publikation publikationen
puppe puppen
qualität qualitäten
quelle quellen
radierung radierungen
radioanstalt radioanstalten
radiostation radiostationen
radiowelle radiowellen
rahmenbedingung rahmenbedingungen
rakete raketen
rasse rassen
ratsherr ratsherren
raumfähre raumfähren
raumstation raumstationen
raupe raupen
reaktion reaktionen
reallohnsteigerung reallohnsteigerungen
rebell rebellen
rebfläche rebflächen
rechenoperation rechenoperationen
recherche recherchen
rechtlich rechtlichen
rechtsextremist rechtsextremisten
rechtswissenschaft rechtswissenschaften
redewendung redewendungen
referent referenten
referenz referenzen
reformierte reformierten
reformpädagoge reformpädagogen
regatta regatten
regel regeln
regelung regelungen
regent regenten
regierung regierungen
regierungsbehörde regierungsbehörden
region regionen
reichweite reichweiten
reihe reihen
reise reisen
reisende reisenden
reithose reithosen
rekrut rekruten
rektor rektoren
religion religionen
religionsgruppe religionsgruppen
religionswissenschaft religionswissenschaften
renditeaussicht renditeaussichten
renovierung renovierungen
renovierungsarbeit renovierungsarbeiten
reparationsleistung reparationsleistungen
reparatur reparaturen
repression repressionen
repräsentant repräsentanten
republik republiken
requisit requisiten
residenz residenzen
ressource ressourcen
restriktion restriktionen
revolutionstruppe revolutionstruppen
rezension rezensionen
rheinbrücke rheinbrücken
rhythmus rhythmen
richtlinie richtlinien
richtung richtungen
risiko risiken
rolle rollen
rollenerwartung rollenerwartungen
rose rosen
rosette rosetten
route routen
routine routinen
rucksacktourist rucksacktouristen
ruhephase ruhephasen
ruine ruinen
runde runden
rundfunkgebühr rundfunkgebühren
russe russen
rute ruten
räumlichkeit räumlichkeiten
röntgenstrahl röntgenstrahlen
rückenschmerz rückenschmerzen
rücksicht rücksichten
rüstungsexperte rüstungsexperten
sache sachen
same samen
sammlung sammlungen
samtgemeinde samtgemeinden
sandfläche sandflächen
sanierung sanierungen
sardine sardinen
sassanide sassaniden
savanne savannen
schablone schablonen
schafherde schafherden
schale schalen
schanze schanzen
scharfschütze scharfschützen
schauspielerin schauspielerinnen
scherbe scherben
scheune scheunen
schicht schichten
schiene schienen
schiffbrüchige schiffbrüchigen
schilderung schilderungen
schildkröte schildkröten
schimpanse schimpansen
schlange schlangen
schlucht schluchten
schlüsselszene schlüsselszenen
schmerz schmerzen
schnelle schnellen
schnittstelle schnittstellen
schocktherapie schocktherapien
schreibutensil schreibutensilien
schreibweise schreibweisen
schrift schriften
schrittfolge schrittfolgen
schulangelegenheit schulangelegenheiten
schulatlas schulatlanten
schuld schulden
schule schulen
schulklasse schulklassen
schulung schulungen
schutzjude schutzjuden
schußwaffe schusswaffen
schwadron schwadronen
schwankung schwankungen
schwarzhaarige schwarzhaarigen
schwede schweden
schwester schwestern
schwierigkeit schwierigkeiten
schwingung schwingungen
schwule schwulen
schwulengruppe schwulengruppen
schwäche schwächen
schätzung schätzungen
schönheit schönheiten
schönste schönsten
schülerin schülerinnen
see seen
seite seiten
sekunde sekunden
semestergebühr semestergebühren
sendestation sendestationen
sendung sendungen
senior senioren
sensor sensoren
serie serien
serviceleistung serviceleistungen
sicherheitslücke sicherheitslücken
siedlung siedlungen
silbe silben
simulation simulationen
sitte sitten
situation situationen
sitzgruppe sitzgruppen
sitzplatzreihe sitzplatzreihen
sitzung sitzungen
skala skalen
skiweltmeisterschaft skiweltmeisterschaften
sklave sklaven
slawe slawen
socke socken
sohle sohlen
soldat soldaten
solist solisten
solostimme solostimmen
sonderaktion sonderaktionen
sonderausstellung sonderausstellungen
sonderregelung sonderregelungen
sonderseite sonderseiten
sondersendung sondersendungen
sorte sorten
sozialdemokrat sozialdemokraten
spaltung spaltungen
sparte sparten
spekulation spekulationen
sperranlage sperranlagen
spezialisierung spezialisierungen
spielaktion spielaktionen
spielart spielarten
spielerin spielerinnen
spielfilmproduktion spielfilmproduktionen
spielregel spielregeln
spielstätte spielstätten
spießgeselle spießgesellen
spitze spitzen
spitzenplazierung spitzenplatzierungen
sportart sportarten
sportlerin sportlerinnen
sprache sprachen
sprechstundenhilfe sprechstundenhilfen
spurweite spurweiten
spätfolge spätfolgen
staat staaten
staatsanwaltschaft staatsanwaltschaften
stadtstaat stadtstaaten
stadtverordnete stadtverordneten
staffel staffeln
stallung stallungen
stammaktie stammaktien
stammesgruppe stammesgruppen
stange stangen
statue statuen
steigung steigungen
steinpyramide steinpyramiden
stelle stellen
stellung stellungen
steuerabgabe steuerabgaben
steuereinnahme steuereinnahmen
steuerungsaufgabe steuerungsaufgaben
stiftung stiftungen
stilrichtung stilrichtungen
straftat straftaten
strafzahlung strafzahlungen
strategie strategien
stratosphärenwolke stratosphärenwolken
strauchart straucharten
straße straßen
straßenbahnschiene straßenbahnschienen
straßenbezeichnung straßenbezeichnungen
straßenname straßennamen
straßenverbindung straßenverbindungen
strecke strecken
streitigkeit streitigkeiten
streitpartei streitparteien
strommast strommasten
strophe strophen
struktur strukturen
strömung strömungen
stuckdecke stuckdecken
student studenten
studie studien
studiengebühr studiengebühren
studienreise studienreisen
stufe stufen
stunde stunden
stute stuten
stätte stätten
störung störungen
substanz substanzen
surrealist surrealisten
sympathie sympathien
sympathisant sympathisanten
synkope synkopen
system systemen
szene szenen
säugetierart säugetierarten
säule säulen
tagesgruppe tagesgruppen
tageszeitung tageszeitungen
tagung tagungen
tankstelle tankstellen
tarifsenkung tarifsenkungen
tatsache tatsachen
technik techniken
technologie technologien
teesorte teesorten
teigware teigwaren
teilnehmer teilnehmern
telefonverbindung telefonverbindungen
temperatur temperaturen
tendenz tendenzen
tentakel tentakeln
terrasse terrassen
terrassenplatte terrassenplatten
territorium territorien
testfahrt testfahrten
textilie textilien
textur texturen
theatererfahrung theatererfahrungen
theaterkritik theaterkritiken
theaterwissenschaft theaterwissenschaften
thema themen
theologe theologen
theorie theorien
these thesen
tiefgarage tiefgaragen
tierart tierarten
tischlerarbeit tischlerarbeiten
tochter töchtern
tochtergesellschaft tochtergesellschaften
toilette toiletten
tomate tomaten
tonart tonarten
tonhöhe tonhöhen
tonne tonnen
torschütze torschützen
torte torten
tote toten
tourist touristen
tournee tourneen
tradition traditionen
tragfläche tragflächen
trainingsmethode trainingsmethoden
traktor traktoren
transportfahrt transportfahrten
transsexuelle transsexuellen
trendmeldung trendmeldungen
treppe treppen
treppenstufe treppenstufen
truppe truppen
tugend tugenden
tätigkeit tätigkeiten
tür türen
türke türken
uferseite uferseiten
