abend abende
staatsdefizit staatsdefizite
stabilisierungsschritt stabilisierungsschritte
stadt städte
stadtrat stadträte
stadtrecht stadtrechte
stadtteil stadtteile
stadttor stadttore
stadtwerk stadtwerke
stahlhelm stahlhelme
stahltor stahltore
stamm stämme
stammbaum stammbäume
stand stände
standort standorte
startplatz startplätze
stationierungsort stationierungsorte
steckbrief steckbriefe
stehplatz stehplätze
stein steine
steinwerkzeug steinwerkzeuge
stellplatz stellplätze
sterbesakrament sterbesakramente
stern sterne
steuerstab steuerstäbe
stich stiche
stickstoffoxid stickstoffoxide
stilelement stilelemente
stirnwand stirnwände
stoff stoffe
stoffwechselprodukt stoffwechselprodukte
stolperstein stolpersteine
strand strände
streitkraft streitkräfte
stromschlag stromschläge
strukturelement strukturelemente
studienergebnis studienergebnisse
studiengang studiengänge
studienjahr studienjahre
studienprogramm studienprogramme
stuhl stühle
stück stücke
stützpunkt stützpunkte
superkraft superkräfte
supermarkt supermärkte
supernova supernovae
symbol symbole
symptom symptome
säugling säuglinge
säuglingsheim säuglingsheime
tag tage
tagen tage
tagungsraum tagungsräume
takt takte
tanzkurs tanzkurse
tarif tarife
taubheitsgefühl taubheitsgefühle
tausend tausende
teich teiche
teil teile
temperaturunterschied temperaturunterschiede
tennisplatz tennisplätze
termin termine
text texte
textfragment textfragmente
theaterstück theaterstücke
themenabend themenabende
therapieansatz therapieansätze
tier tiere
tierarzt tierärzte
titelkampf titelkämpfe
todesfall todesfälle
todesurteil todesurteile
ton töne
tor tore
torpedoboot torpedoboote
transport transporte
treffpunkt treffpunkte
treppenturm treppentürme
trieb triebe
triebwerk triebwerke
tritt tritte
turm türme
turnier turniere
turniersieg turniersiege
umriß umrisse
umstand umstände
umweltproblem umweltprobleme
unfall unfälle
unterkunft unterkünfte
unterschied unterschiede
untersuchungsgebiet untersuchungsgebiete
verband verbände
verdienst verdienste
verein vereine
verfassungsorgan verfassungsorgane
vergeltungsschlag vergeltungsschläge
vergleichsangebot vergleichsangebote
verhältnis verhältnisse
verhör verhöre
verkauf verkäufe
verkehrsbedürfnis verkehrsbedürfnisse
verkehrsbetrieb verkehrsbetriebe
verlag verlage
verlust verluste
vermögenswert vermögenswerte
vers verse
versorgungssystem versorgungssysteme
verstoß verstöße
versuch versuche
versuchstier versuchstiere
verwaltungsgeschäft verwaltungsgeschäfte
verwaltungsrat verwaltungsräte
verwandtschaftsverhältnis verwandtschaftsverhältnisse
vollgeschoß vollgeschosse
vorfall vorfälle
vorhang vorhänge
vorkenntnis vorkenntnisse
vorort vororte
vorrat vorräte
vorschlag vorschläge
vorstadt vorstädte
vorteil vorteile
vortrag vorträge
vorurteil vorurteile
vorwurf vorwürfe
vulkan vulkane
wahlkreis wahlkreise
wahllokal wahllokale
wahlvorschlag wahlvorschläge
waldbestand waldbestände
waldgebiet waldgebiete
wall wälle
wand wände
wanderweg wanderwege
wasserfall wasserfälle
webstuhl webstühle
weg wege
weihnachtsgeschenk weihnachtsgeschenke
wein weine
weinberg weinberge
weinstock weinstöcke
weit weitere
weltrekord weltrekorde
werbefilm werbefilme
werbespruch werbesprüche
werk werke
werkstoff werkstoffe
werkzeug werkzeuge
wert werte
wesenszug wesenszüge
wettbewerb wettbewerbe
wettkampf wettkämpfe
widerstand widerstände
windverhältnis windverhältnisse
wirkstoff wirkstoffe
wirtschaftsbetrieb wirtschaftsbetriebe
wirtschaftszweig wirtschaftszweige
wohnraum wohnräume
wort worte
wunsch wünsche
zahlenwert zahlenwerte
zahlreich zahlreiche
zahn zähne
zahnarzt zahnärzte
zeugnis zeugnisse
ziel ziele
zitat zitate
zoll zölle
zufallsfund zufallsfunde
zufluß zuflüsse
zug züge
zugpaar zugpaare
zugpferd zugpferde
zusammenhang zusammenhänge
zusammenschluß zusammenschlüsse
zusatz zusätze
zusatzstoff zusatzstoffe
zuschuß zuschüsse
zustand zustände
zuzug zuzüge
zweck zwecke
zweig zweige
zwiebelgewächs zwiebelgewächse
zwilling zwillinge
zwischenhalt zwischenhalte
öl öle
ölingenieur ölingenieure
übereinkunft übereinkünfte
überfall überfälle
übergriff übergriffe
überrest überreste
überschwemmungsgebiet überschwemmungsgebiete
überseeschiff überseeschiffe
